run_name,model,accuracy,f1,roc_auc,notes
run_004,logistic_regression,1.0,1.0,1.0,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333332,0.9333333333333332,0.9966666666666668,baseline run
run_004,logistic_regression,0.9333333333333333,0.9333333333333332,0.9966666666666667,baseline run
